BUSSTOPID,STOP NUMBER,LOCATION,WINTER MAINTENANCE ZONE,WINTER MAINTENANCE ROUTE,WINTER MAINTENANCE LEVEL OF SERVICE,WINTER MAINTENANCE RESPONSIBILITY,COMMENTS
BS2136,8518,Windmill Rd At Civic 520 (8518),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1369,8523,Windmill Rd Before Elmwood Ave (8523),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1625,8539,Windmill Rd Before Elmwood Ave (8539),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS2139,8521,Windmill Rd Before Fernhill Dr (8521),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS1048,9053,Windmill Rd Before Fernhill Dr (9053),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1370,8524,Windmill Rd Before Henry St (8524),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1269,8525,Windmill Rd Before Jamieson St (8525),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS227,7145,Windmill Rd Before Mott St (7145),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1270,8526,Windmill Rd Before Nivens Ave (8526),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1930,8512,Windmill Rd Before Nootka Ave (8512),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1596,8534,Windmill Rd Before Nootka Ave (8534),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1627,8541,Windmill Rd Before Parkstone Rd (8541),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS1273,8529,Windmill Rd Before Sunnydale Ave (8529),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS2137,8519,Windmill Rd Before Victoria Rd (8519),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1929,8511,Windmill Rd Before Waddell Ave (8511),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1275,8531,Windmill Rd Before Wallace St (8531),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS2655,7196,Windmill Rd Before Wyse Rd (7196),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1630,8544,Windmill Rd Before Yorkshire Ave Ext (8544),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1624,8538,Windmill Rd Opposite Dawson St (8538),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1628,8542,Windmill Rd Opposite Pelzant St (8542),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS1632,8546,Windmill Rd Opposite Wallace St (8546),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS1406,8612,Wyse Rd After Boland Rd (8612),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1411,8618,Wyse Rd After Jamieson St (8618),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS1412,8619,Wyse Rd Before Albro Lake Rd (8619),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1409,8616,Wyse Rd Before Boland Rd (8616),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1414,8621,Wyse Rd Before Boland Rd (8621),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1413,8620,Wyse Rd Before Elmwood Ave (8620),HRM SW  Zone 2,Route 2,PRI2,HRM,SHELTER
BS1415,8622,Wyse Rd Before Howe St (8622),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1410,8617,Wyse Rd Before Jamieson St (8617),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1408,8615,Wyse Rd Before Russell St (8615),HRM SW  Zone 2,Route 2,PRI2,HRM,
BS1026,6007,Akerley Blvd After Isnor Dr (6007),HRM SW  Zone 2,Route 3,PRI2,HRM,
BS843,6002,Akerley Blvd After Joseph Zatzman Dr (6002),HRM SW  Zone 2,Route 3,PRI2,HRM,
BS844,6003,Akerley Blvd After Joseph Zatzman Dr (6003),HRM SW  Zone 2,Route 3,PRI2,HRM,
BS847,6006,Akerley Blvd After Morris Dr (6006),HRM SW  Zone 2,Route 3,PRI2,HRM,
BS1003,6013,Akerley Blvd After Mosher Dr (6013),HRM SW  Zone 2,Route 3,PRI2,HRM,
BS846,6005,Akerley Blvd After Windmill Rd (6005),HRM SW  Zone 2,Route 3,PRI2,HRM,
BS842,6001,Akerley Blvd At Civic 75 (6001),HRM SW  Zone 2,Route 3,PRI2,HRM,
BS1006,6016,Akerley Blvd Before Burnside Dr (6016),HRM SW  Zone 2,Route 3,PRI2,HRM,
